episode,reward,timesteps
1057,-15233.196,96317
1058,-16874.236,96417
1059,-11588.213,96517
1060,-13509.401,96617
1061,-11954.35,96717
1062,-14704.033,96817
1063,-13569.373,96917
1064,-23490.389,97017
1065,-45492.727,97117
1066,-13232.762,97217
1067,-16133.859,97317
1068,-53951.53,97417
1069,-12887.801,97517
1070,-18997.564,97617
1071,-11603.974,97717
1072,-25192.297,97817
1073,-52949.37,97917
1074,-19754.045,98017
1075,-12986.112,98117
1076,-37135.29,98217
1077,-41743.016,98317
1078,-20292.602,98417
1079,-62812.76,98517
1080,-18195.68,98617
1081,-25337.305,98717
1082,-28949.422,98817
1083,-41371.855,98917
1084,-19128.467,99017
1085,-17397.924,99117
1086,-59412.277,99217
1087,-68927.5,99317
1088,-16639.086,99417
1089,-19852.84,99517
1090,-20234.77,99617
1091,-15358.072,99717
1092,-15085.42,99817
1093,-11788.972,99917
1094,-15436.903,100017
1095,-47178.5,100117
1096,-11643.017,100217
1097,-17811.758,100317
1098,-11261.728,100417
1099,-11854.706,100517
1100,-14483.194,100617
1101,-15094.425,100717
1102,-36915.504,100817
1103,-14662.727,100917
1104,-25921.441,101017
1105,-38492.664,101117
1106,-19899.564,101217
1107,-16243.25,101317
1108,-41548.223,101417
1109,-18817.904,101517
1110,-10974.412,101617
1111,-54731.645,101717
1112,-156876.9,101817
1113,-12714.97,101917
1114,-24638.348,102017
1115,-12272.535,102117
1116,-25250.584,102217
1117,-15091.963,102317
1118,-14736.09,102417
1119,-53816.33,102517
1120,-16344.795,102617
1121,-10813.293,102717
1122,-14504.782,102817
1123,-14288.89,102917
1124,-46526.79,103017
1125,-41592.67,103117
1126,-10720.849,103217
1127,-43437.863,103317
1128,-14585.491,103417
1129,-85323.96,103517
1130,-15445.447,103617
1131,-16877.715,103717
1132,-13802.743,103817
1133,-35178.324,103917
1134,-14284.964,104017
1135,-64660.543,104117
1136,-11241.442,104217
1137,-48508.62,104317
1138,-27468.191,104417
1139,-13102.506,104517
1140,-11705.126,104617
1141,-16093.891,104717
1142,-16351.553,104817
1143,-27492.92,104917
1144,-13691.729,105017
1145,-20272.797,105117
1146,-10808.125,105217
1147,-18533.875,105317
1148,-13490.282,105417
1149,-57124.49,105517
1150,-20940.928,105617
1151,-16142.452,105717
1152,-14629.413,105817
1153,-18228.68,105917
1154,-11628.596,106017
1155,-16853.908,106117
1156,-31943.057,106217
1157,-12791.139,106317
1158,-21440.941,106417
1159,-11918.408,106517
1160,-15989.154,106617
1161,-17901.227,106717
1162,-14041.721,106817
1163,-12897.655,106917
1164,-13547.563,107017
1165,-22891.541,107117
1166,-39722.824,107217
1167,-10520.343,107317
1168,-19730.512,107417
1169,-11513.817,107517
1170,-23474.848,107617
1171,-27172.303,107717
1172,-51023.758,107817
1173,-18050.176,107917
1174,-13374.528,108017
1175,-17176.621,108117
1176,-11107.206,108217
1177,-15734.411,108317
1178,-15290.927,108417
1179,-10901.944,108517
1180,-13458.44,108617
1181,-12066.831,108717
1182,-22430.375,108817
1183,-24660.148,108917
1184,-14059.141,109017
1185,-41651.316,109117
1186,-21746.613,109217
1187,-14478.694,109317
1188,-17443.451,109417
1189,-25769.307,109517
1190,-52193.17,109617
1191,-39788.52,109717
1192,-15283.015,109817
1193,-44473.707,109917
1194,-20016.596,110017
1195,-34319.613,110117
1196,-12337.823,110217
1197,-30660.299,110317
1198,-10969.466,110417
1199,-26332.146,110517
1200,-20334.475,110617
1201,-11476.798,110717
1202,-12784.968,110817
1203,-18389.145,110917
1204,-30370.504,111017
1205,-27219.314,111117
1206,-11777.834,111217
1207,-31927.078,111317
1208,-10808.115,111417
1209,-10213.617,111517
1210,-22749.842,111617
1211,-35884.04,111717
1212,-74253.69,111817
1213,-23953.791,111917
1214,-11124.671,112017
1215,-108503.23,112117
1216,-57187.48,112217
1217,-29117.066,112317
1218,-10586.023,112417
1219,-46529.16,112517
1220,-11458.021,112617
1221,-65327.87,112717
1222,-27265.162,112817
1223,-16547.25,112917
1224,-34953.164,113017
1225,-15961.586,113117
1226,-12324.084,113217
1227,-41437.46,113317
1228,-13206.349,113417
1229,-34829.367,113517
1230,-84397.375,113617
1231,-17324.62,113717
