train/n_updates,train/learning_rate,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
179974,0.0001,,,2381.86474609375,,198.343017578125,720000,,,-152506231.311244,1000.0
,,471,-4607.9374384,,1000.0,,720000,720,1528,,
180974,0.0001,471,-4665.87380216,2533.43212890625,1000.0,1340.5274658203125,724000,724,1535,,
181974,0.0001,471,-4675.39727148,2614.087890625,1000.0,1093.200927734375,728000,728,1542,,
182474,0.0001,,,2427.70263671875,,371.9929504394531,730000,,,-152506231.311244,1000.0
182974,0.0001,471,-4663.146308140001,2345.70556640625,1000.0,278.6603698730469,732000,732,1553,,
183974,0.0001,471,-4753.248176550001,2525.85888671875,1000.0,1477.72119140625,736000,736,1560,,
184974,0.0001,,,2387.66162109375,,722.0081176757812,740000,,,-152506231.311244,1000.0
,,471,-4733.189569009999,,1000.0,,740000,740,1570,,
185974,0.0001,471,-4754.70559882,2528.36474609375,1000.0,1642.3121337890625,744000,744,1577,,
186974,0.0001,471,-4776.436846590001,2548.34326171875,1000.0,823.3779296875,748000,748,1585,,
187474,0.0001,,,2440.173828125,,1007.627685546875,750000,,,-152506231.311244,1000.0
187974,0.0001,471,-4801.008857610001,2513.898681640625,1000.0,1007.25634765625,752000,752,1595,,
188974,0.0001,471,-4893.84259034,2395.86474609375,1000.0,1231.26611328125,756000,756,1602,,
189974,0.0001,,,2359.7001953125,,1110.31005859375,760000,,,-152506231.311244,1000.0
,,471,-4919.05988485,,1000.0,,760000,760,1613,,
190974,0.0001,471,-4998.03893081,2439.8408203125,1000.0,937.8787231445312,764000,764,1620,,
191974,0.0001,471,-4965.115667510001,2453.040283203125,1000.0,1668.910400390625,768000,768,1627,,
192474,0.0001,,,2427.46826171875,,375.09649658203125,770000,,,-152506231.311244,1000.0
192974,0.0001,471,-5095.048209140001,2423.39794921875,1000.0,1433.1278076171875,772000,772,1637,,
193974,0.0001,471,-5067.94307251,2421.839599609375,1000.0,929.1221313476562,776000,776,1645,,
194974,0.0001,,,2585.973388671875,,7549.38671875,780000,,,-152506231.311244,1000.0
,,471,-5091.48404607,,1000.0,,780000,780,1655,,
195974,0.0001,471,-5068.9507415,2414.17236328125,1000.0,307.22015380859375,784000,784,1662,,
196974,0.0001,471,-5005.1197402200005,2434.58203125,1000.0,2668.805908203125,788000,788,1670,,
197474,0.0001,,,2495.83447265625,,886.3311767578125,790000,,,-152506231.311244,1000.0
197974,0.0001,471,-5030.25723236,2432.816162109375,1000.0,520.0652465820312,792000,792,1680,,
198974,0.0001,471,-5057.08230094,2331.671875,1000.0,203.9226531982422,796000,796,1687,,
199974,0.0001,,,2454.058837890625,,436.7990417480469,800000,,,-152506231.311244,1000.0
,,471,-5066.16477565,,1000.0,,800000,800,1698,,
200974,0.0001,471,-5154.632506669999,2504.564697265625,1000.0,381.4983215332031,804000,804,1705,,
201974,0.0001,471,-5199.57780009,2475.965576171875,1000.0,242.55670166015625,808000,808,1712,,
202474,0.0001,,,2477.33984375,,189.99964904785156,810000,,,-152506231.311244,1000.0
202974,0.0001,471,-5197.289715479999,2425.615478515625,1000.0,223.3389434814453,812000,812,1722,,
203974,0.0001,471,-5270.37108214,2424.7783203125,1000.0,351.9529724121094,816000,816,1730,,
204974,0.0001,,,2421.316162109375,,5322.9599609375,820000,,,-152506231.311244,1000.0
,,471,-5273.4949462,,1000.0,,820000,820,1740,,
205974,0.0001,471,-5225.31492725,2412.4306640625,1000.0,309.7040710449219,824000,824,1747,,
206974,0.0001,471,-5218.53976318,2450.28662109375,1000.0,239.2037353515625,828000,828,1754,,
207474,0.0001,,,2292.7392578125,,1145.12939453125,830000,,,-152506231.311244,1000.0
207974,0.0001,471,-5233.094022500001,2458.970947265625,1000.0,565.107177734375,832000,832,1765,,
208974,0.0001,471,-5069.687236940001,2405.052490234375,1000.0,1064.922607421875,836000,836,1772,,
209974,0.0001,,,2357.107666015625,,694.4725341796875,840000,,,-152506231.311244,1000.0
,,471,-5114.425555220001,,1000.0,,840000,840,1782,,
210974,0.0001,471,-5103.03474795,2363.3486328125,1000.0,430.47454833984375,844000,844,1790,,
211974,0.0001,471,-5059.939701710001,2437.45263671875,1000.0,474.119140625,848000,848,1797,,
212474,0.0001,,,2463.68115234375,,690.3876342773438,850000,,,-152506231.311244,1000.0
212974,0.0001,471,-5137.91115854,2437.476318359375,1000.0,265.36749267578125,852000,852,1807,,
213974,0.0001,471,-4996.3474854,2323.3427734375,1000.0,360.28485107421875,856000,856,1815,,
214974,0.0001,,,2407.380859375,,239.21853637695312,860000,,,-152506231.311244,1000.0
,,471,-4950.74659512,,1000.0,,860000,860,1825,,
215974,0.0001,471,-4837.62316051,2342.2998046875,1000.0,288.6044006347656,864000,864,1832,,
216974,0.0001,471,-4814.53747297,2319.01806640625,1000.0,212.79000854492188,868000,868,1839,,
217474,0.0001,,,2467.2314453125,,420.30474853515625,870000,,,-152506231.311244,1000.0
217974,0.0001,471,-4736.85662538,2504.212158203125,1000.0,687.8423461914062,872000,872,1850,,
