rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/learning_rate
100.0,1088,598016,73,549,-10199.87900828,-1.2723512459546327,485424.4845703125,0.2,720,0.002390522,-0.000735065882327035,0.01094970703125,90675.875,-2.384185791015625e-07,0.8619453310966492,0.0003
100.0,1089,606208,74,556,-10112.519338740001,-1.2681716833263637,469018.0111328125,0.2,730,0.004437771,-0.0013076327712042257,0.01729736328125,90468.2421875,0.0,0.8587472438812256,0.0003
100.0,1089,614400,75,564,-10154.671945119999,-1.270652025565505,453392.70478515624,0.2,740,0.0011252367,-0.0001223040177137591,0.002685546875,85360.8828125,0.0,0.864628791809082,0.0003
100.0,1089,622592,76,571,-10109.429129420001,-1.2646062057465315,461161.4100585937,0.2,750,0.0017505132,-0.0008051843175053364,0.00755615234375,86054.1796875,0.0,0.8497954607009888,0.0003
100.0,1089,630784,77,578,-10078.41112086,-1.2557584058493376,449461.9919921875,0.2,760,0.0015278542,-0.00015692742163082586,0.0049560546875,82933.421875,0.0,0.8488770723342896,0.0003
100.0,1089,638976,78,586,-10159.75301075,-1.2527004577219487,441966.8404296875,0.2,770,0.002122871,-0.0011435462012741482,0.014453125,84399.0546875,0.0,0.8448885679244995,0.0003
100.0,1090,647168,79,593,-10116.3669855,-1.2501545768231153,452472.1473632812,0.2,780,0.0020290115,-0.0005274571609334089,0.00902099609375,85059.4375,1.1920928955078125e-07,0.8442533016204834,0.0003
100.0,1090,655360,80,601,-10135.86629338,-1.2472061328589916,439029.286328125,0.2,790,0.0025094938,-0.00021849037111678626,0.00435791015625,82983.6875,0.0,0.8398312330245972,0.0003
100.0,1090,663552,81,608,-10241.94832972,-1.2443343717604876,442789.86572265625,0.2,800,0.0012974937,-7.673173167859204e-05,0.00091552734375,84781.40625,0.0,0.8395807147026062,0.0003
100.0,1090,671744,82,615,-10169.348151400001,-1.2433979086577893,451518.0080078125,0.2,810,0.0008698553,-0.0006006514580803923,0.0070068359375,81657.984375,-1.1920928955078125e-07,0.8378605842590332,0.0003
100.0,1090,679936,83,623,-10151.435422899998,-1.2466512084007264,434619.962890625,0.2,820,0.0008151396,-9.304561972385272e-05,0.00286865234375,82702.0859375,0.0,0.8450945019721985,0.0003
100.0,1090,688128,84,630,-10120.584912639999,-1.2510679721832276,432363.708984375,0.2,830,0.0015980912,-0.00035043976531596855,0.00484619140625,82709.578125,0.0,0.845592737197876,0.0003
100.0,1091,696320,85,638,-10126.800211560001,-1.2596054837107657,424067.851171875,0.2,840,0.0007856861,-0.0002298765342857223,0.0019287109375,82293.2421875,0.0,0.8585556745529175,0.0003
100.0,1091,704512,86,645,-10124.544604780001,-1.2586834579706192,424073.4125,0.2,850,0.0009682535,-0.00043839294248755324,0.002978515625,81118.3828125,0.0,0.8453445434570312,0.0003
100.0,1091,712704,87,653,-10126.92968332,-1.2484062392264605,420048.83466796874,0.2,860,0.0014104526,-0.0006473704823292791,0.00950927734375,79135.6484375,0.0,0.8417598605155945,0.0003
100.0,1091,720896,88,660,-10102.62786912,-1.2537611737847327,416391.0782226563,0.2,870,0.0011341455,-0.0004867508352617733,0.00411376953125,79772.125,-2.384185791015625e-07,0.8532755374908447,0.0003
100.0,1091,729088,89,667,-9999.43293983,-1.256398792564869,410564.75947265624,0.2,880,0.0037328796,-0.0006999703182373196,0.014697265625,80095.6328125,-2.384185791015625e-07,0.846367597579956,0.0003
